C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,3,0,0,5.02
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,3,0,0,4.63
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,30,0.38,3,0,0,4.38
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,1.5,2.88
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,1.5,2.83
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,1.5,2.72
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,2,3.82
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,2,3.70
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,2,3.32
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,18,0.3,0,0,2,3.39
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2,0,3.86
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2,0,3.79
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2,0,3.61
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2.5,0,4.19
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2.5,0,4.13
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,2.5,0,4.03
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,3,0,4.80
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,3,0,4.46
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,3,0,4.25
899,224.72,0,0,0,0,826.98,0,0,224.72,170,9.88,0,28,13,0.2,0,3,0,3.86
768,192,0,0,0,0,844,384,0,0,154,69,0,28,13,0.2,0,2,0,8.48
768,192,0,0,0,0,844,384,0,0,154,69,0,28,13,0.2,0,2,0,7.80
768,192,0,0,0,0,844,384,0,0,154,69,0,28,13,0.2,0,2,0,7.64
768,192,0,0,0,0,844,384,0,0,154,69,0,28,13,0.2,0,2,0,6.73
970.1,194.3,194.3,0,0,0,354.7,0,0,0,680,5,0,28,13,0.2,0,2,0,4.13
970.1,194.3,194.3,0,0,0,354.7,0,0,0,680,5,0,28,13,0.2,0,2,0,4.10
970.1,194.3,194.3,0,0,0,354.7,0,0,0,680,5,0,28,13,0.2,0,2,0,4.02
780,195,0,0,0,0,830,247.26,0,0,156,23.4,0,28,13,0.2,0,1.5,0,6.20
780,195,0,0,0,0,830,247.26,0,0,156,23.4,0,28,13,0.2,0,2,0,8.48
780,195,0,0,0,0,830,247.26,0,0,156,23.4,0,28,18,0.2,0,1.5,0,8.21
780,195,0,0,0,0,830,247.26,0,0,156,23.4,0,28,18,0.2,0,2,0,10.53
780,195,0,0,0,0,830,247.26,0,0,156,23.4,0,28,16,0.2,2,0,0,9.81
789.4,197.3,0,0,236.8,868.3,0,0,0,0,164.2,47.4,0,3,4,0.2,0,2,0,1.47
789.4,197.3,0,0,236.8,868.3,0,0,0,0,164.2,47.4,0,3,8,0.2,0,2,0,1.79
789.4,197.3,0,0,236.8,868.3,0,0,0,0,164.2,47.4,0,3,12,0.2,0,2,0,2.11
789.4,197.3,0,0,236.8,868.3,0,0,0,0,164.2,47.4,0,3,16,0.2,0,2,0,2.43
789.4,197.3,0,0,236.8,868.3,0,0,0,0,164.2,47.4,0,3,20,0.2,0,2,0,2.65
